runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,360.35,11,0,434.7239074
2,350.51,11,0,409.0229439
3,364.05,11,0,430.106339
4,388.95,11,0,450.9369616
5,387.74,11,0,444.2700634
6,389.85,11,0,447.9448506
7,376.96,11,1,434.6201169
8,388.22,11,0,445.3812408
9,388.15,11,0,444.5752044
10,388.13,11,0,445.5680704
11,387.62,11,0,445.245937
12,389.17,11,0,446.4465179
13,377.39,11,1,434.6267417
14,385.81,11,0,443.4830244
15,386.33,11,0,443.1279662
16,384.29,11,0,442.0851882
17,381.87,11,0,439.7866491
18,392.56,11,0,449.2285729
19,386.47,11,0,445.5113052
20,387.22,11,0,445.0939151
21,390.00,11,0,447.4511729
22,386.26,11,0,442.7569152
23,384.49,11,1,442.2294021
24,373.89,11,1,432.9742183
25,379.37,11,1,437.2489336
26,372.21,11,0,447.5233908
27,369.05,11,0,432.26176
28,397.10,11,0,462.0884468
29,494.58,11,1,560.0661076
30,378.41,11,0,439.4592478
31,383.77,11,0,449.8415664
32,385.70,11,0,450.8784809
33,380.06,11,1,451.1488624
34,387.79,11,0,462.7773997
35,382.43,11,0,448.4571041
36,378.14,11,1,444.9024015
37,390.97,11,0,451.7947223
38,384.00,11,0,447.2648059
39,372.76,11,0,444.5239869
40,388.54,11,0,456.7612914
41,379.42,11,0,444.3512722
42,395.72,11,0,456.6064146
43,388.04,11,0,453.5742194
44,401.82,11,0,467.376446
45,383.24,11,0,456.3051034
46,384.91,11,0,447.6806289
47,377.06,11,0,449.3065299
48,410.94,11,0,468.8279565
49,387.85,11,0,458.3279304
50,387.54,11,0,451.8527059
51,388.67,11,0,454.8723966
52,390.64,11,0,451.282479
53,382.48,11,0,441.9882417
54,377.53,11,0,442.6786998
55,376.99,11,0,437.2481185
