runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,98.12,11,1,206.6497352
2,100.64,11,0,159.5722613
3,100.83,11,0,158.1185315
4,100.59,11,0,157.4359717
5,100.67,11,0,157.7170971
6,101.02,11,0,158.0187294
7,101.02,11,0,158.0472209
8,101.13,11,0,158.0497959
9,101.42,11,0,158.463376
10,100.95,11,0,157.5836773
11,101.80,11,0,158.9511549
12,100.83,11,0,157.2885174
13,101.23,11,0,158.3632334
14,101.36,11,0,158.473567
15,100.78,11,0,157.2361606
16,101.00,11,0,158.5888851
17,101.02,11,0,157.525407
18,100.89,11,0,157.2795755
19,100.99,11,0,166.3952571
20,101.08,11,0,157.863601
21,100.79,11,0,157.6447025
22,101.61,11,0,167.4975994
23,100.89,11,0,157.4846488
24,101.53,11,0,158.6014638
25,101.08,11,0,158.2054778
26,101.62,11,0,158.4427486
27,100.16,11,0,156.5906134
28,101.13,11,0,157.5062579
29,101.38,11,0,157.3643072
30,101.57,11,0,158.2048184
31,101.37,11,0,158.0331022
32,100.88,11,0,158.3463611
33,101.52,11,0,158.3833539
34,100.72,11,0,157.824418
35,101.20,11,0,158.0102814
36,101.45,11,0,158.5842865
37,101.03,11,0,157.7416277
38,100.69,11,0,163.4215698
39,101.12,11,0,158.3834878
40,101.36,11,0,158.1047403
41,100.44,11,0,159.267461
42,100.90,11,0,158.3684755
43,101.40,11,0,158.1964988
44,101.18,11,0,158.1746887
45,100.48,11,0,157.4615954
46,101.35,11,0,157.93014
47,101.29,11,0,158.7933847
48,101.23,11,0,158.3866827
49,101.34,11,0,158.2446229
50,101.30,11,0,166.0793769
