runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,317.39,10,0,374.2888634
2,317.76,10,0,368.404308
3,317.69,10,0,368.8926011
4,317.59,10,0,369.2128159
5,318.08,10,0,368.4435772
6,317.68,10,0,378.355427
7,317.53,10,0,367.8804376
8,317.96,10,0,368.9741992
9,317.72,10,0,368.0636081
10,317.64,10,0,368.6966547
11,317.77,10,0,368.3926873
12,317.6,10,0,368.098741
13,317.54,10,0,367.9868072
14,317.73,10,0,368.6366578
15,317.33,10,0,368.4013107
16,317.72,10,0,368.9483314
17,318.01,10,0,368.3562424
18,317.69,10,0,368.0689576
19,317.52,10,0,369.8304883
20,317.63,10,0,368.2531739
21,317.78,10,0,368.6943057
22,317.75,10,0,368.3374608
23,317.8,10,0,368.1148559
24,317.45,10,0,367.8912915
25,317.86,10,0,367.9830818
26,317.79,10,0,374.8407196
27,317.78,10,0,368.9309285
28,317.54,10,0,367.6140421
29,317.59,10,0,367.9228676
30,317.89,10,0,368.5010433
31,317.62,10,0,367.9640568
32,317.26,10,0,377.9485479
33,317.89,10,0,368.1725465
34,317.64,10,0,368.1388097
35,317.82,10,0,368.5015948
36,317.65,10,0,378.8142888
37,317.87,10,0,368.5057844
38,317.75,10,0,378.3413407
39,317.75,10,0,368.1610434
40,318.04,10,0,368.5934965
41,318.45,10,0,369.5342743
42,317.81,10,0,368.8148853
43,316.11,10,0,366.2673163
44,317.95,10,0,368.5840533
45,317.69,10,0,368.882646
46,317.54,10,0,367.9343383
47,317.97,10,0,368.5887001
48,318.09,10,0,368.9000734
49,318.01,10,0,368.7576871
50,317.54,10,0,368.1248241
