runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,228.61,11,0,270.444299
2,233.65,11,0,278.8394074
3,227.91,11,0,281.6234816
4,245.2,11,1,293.5437823
5,233.61,11,0,279.5021712
6,233.44,11,0,278.5965305
7,228.3,11,0,273.5436499
8,234.62,11,0,279.9922646
9,228.78,11,0,274.5101965
10,228.77,11,0,273.8984916
11,234.14,11,0,278.8543944
12,232.88,11,0,277.6826421
13,235.01,11,0,280.115294
14,244.91,11,1,289.777355
15,232.58,11,0,277.8960489
16,233.13,11,0,278.1602374
17,233.23,11,0,277.8006194
18,229.61,11,0,275.3370097
19,234.73,11,0,285.6728
20,230.45,11,0,276.2553125
21,245.24,11,1,296.3860009
22,234.55,11,0,280.3749424
23,233.13,11,0,278.2745607
24,234.66,11,0,279.8967371
25,229.44,11,0,275.7168865
26,237,11,1,289.2059145
27,255.5,11,1,299.7738661
28,251.25,11,1,295.3313925
29,235.86,11,0,279.9172582
30,235.12,11,0,279.9284554
31,239.57,11,0,283.3246136
32,234.49,11,0,279.0288004
33,239.06,11,0,283.8857959
34,249.44,11,1,293.1427773
35,240.85,11,0,286.501484
36,250.42,11,1,295.0011638
37,251.1,11,1,296.8555716
38,240.8,11,0,286.3983523
39,240.12,11,0,289.4692833
40,235.89,11,0,280.6743658
41,240.67,11,0,285.281478
42,251.4,11,1,295.1885326
43,232.66,11,0,277.169203
44,239.45,11,0,284.6771376
45,256.12,11,1,299.7749861
46,235.89,11,0,280.7339791
47,236.26,11,0,281.0732519
48,236.84,11,0,291.4801123
49,236.87,11,0,280.8501763
50,255.13,11,1,306.811173
51,234.73,11,0,279.4751559
52,234.52,11,0,278.9571835
53,240.15,11,0,284.1434185
54,234.61,11,0,279.241762
55,240.29,11,0,284.9972914
56,237.15,11,0,281.5861529
57,236.28,11,0,280.5555253
58,241.3,11,0,286.8355602
59,240,11,0,285.1275469
60,235.39,11,0,279.7669209
61,235.16,11,0,279.6580699
62,233.63,11,0,278.144273
63,234.52,11,0,278.4538459
64,235.28,11,0,279.7306128
65,235.56,11,0,279.5805695
