toolname,runTime_seconds
Appium,520.52
Appium,498.61
Appium,498.2
Appium,500.12
Appium,498.6
Appium,497.38
Appium,499.73
Appium,499.55
Appium,500.31
Appium,499.9
Appium,499.85
Appium,497.97
Appium,498.38
Appium,500.32
Appium,499.39
Appium,499.63
Appium,499.88
Appium,498.82
Appium,497.93
Appium,498.02
Appium,500.43
Appium,506.15
Appium,530.12
Appium,551.55
Appium,548.72
Appium,514.01
Appium,493.2
Appium,501.19
Appium,500.12
Appium,500.17
Appium,501.4
Appium,500
Appium,502.2
Appium,501.39
Appium,502.43
Appium,500.35
Appium,500.41
Appium,518.35
Appium,545.41
Appium,552.97
Appium,535.16
Appium,503.34
Appium,503.54
Appium,502.43
Appium,498.49
Appium,496.35
Appium,500.32
Appium,501.89
Appium,500.91
Appium,500.01
Espresso,79.37
Espresso,79.51
Espresso,78.35
Espresso,78.69
Espresso,79.47
Espresso,78.5
Espresso,78.2
Espresso,78.64
Espresso,78.78
Espresso,79.36
Espresso,78.37
Espresso,78.36
Espresso,78.43
Espresso,78.33
Espresso,79.24
Espresso,79.36
Espresso,78.63
Espresso,78.28
Espresso,78.07
Espresso,79.78
Espresso,78.84
Espresso,78.76
Espresso,78.99
Espresso,78.95
Espresso,78.33
Espresso,78.55
Espresso,78.64
Espresso,78.67
Espresso,78.6
Espresso,78.65
Espresso,78.72
Espresso,78.33
Espresso,78.28
Espresso,79.31
Espresso,78.2
Espresso,78.61
Espresso,78.64
Espresso,78.63
Espresso,78.44
Espresso,77.92
Espresso,78.71
Espresso,78.41
Espresso,81.18
Espresso,80.3
Espresso,78.55
Espresso,78.13
Espresso,78.83
Espresso,79.5
Espresso,78.71
Espresso,77.83
