runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,520.52,18,0,572.8013263
2,498.61,18,0,540.2641484
3,498.20,18,0,540.7623716
4,500.12,18,0,540.8234264
5,498.60,18,0,539.5356114
6,497.38,18,0,538.7418944
7,499.73,18,0,540.185251
8,499.55,18,0,540.6482308
9,500.31,18,0,541.1012309
10,499.90,18,0,540.704185
11,499.85,18,0,540.0774755
12,497.97,18,0,538.8407321
13,498.38,18,0,539.8009395
14,500.32,18,0,541.3799765
15,499.39,18,0,540.4843719
16,499.63,18,0,540.2031402
17,499.88,18,0,540.2136824
18,498.82,18,0,540.3151145
19,497.93,18,0,538.4918816
20,498.02,18,0,538.3988624
21,500.43,18,0,541.3190845
22,506.15,18,0,546.2955309
23,530.12,18,0,573.5534982
24,551.55,18,0,592.4159334
25,548.72,18,0,589.9988519
26,514.01,18,0,565.5994368
27,493.20,18,0,537.4927326
28,501.19,18,0,542.3239246
29,500.12,18,0,540.9660306
30,500.17,18,0,540.8227637
31,501.40,18,0,543.0225331
32,500.00,18,0,541.920314
33,502.20,18,0,542.8259136
34,501.39,18,0,544.3504384
35,502.43,18,0,543.4130257
36,500.35,18,0,542.3405875
37,500.41,18,0,541.0661428
38,518.35,18,0,559.1853709
39,545.41,18,0,586.6282041
40,552.97,18,0,594.1135542
41,535.16,18,0,575.3935906
42,503.34,18,0,545.0536276
43,503.54,18,0,544.055949
44,502.43,18,0,543.9392663
45,498.49,18,0,539.5487978
46,496.35,18,0,537.7285466
47,500.32,18,0,542.6509458
48,501.89,18,0,542.9952347
49,500.91,18,0,542.945067
50,500.01,18,0,541.1177363
