runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,79.37,18,0,152.4000154
2,79.51,18,0,113.8995348
3,78.35,18,0,113.1594423
4,78.69,18,0,113.0435228
5,79.47,18,0,112.609556
6,78.50,18,0,112.3067657
7,78.20,18,0,111.6886348
8,78.64,18,0,112.617931
9,78.78,18,0,111.9522903
10,79.36,18,0,112.0816336
11,78.37,18,0,111.4823361
12,78.36,18,0,112.2645162
13,78.43,18,0,111.3805772
14,78.33,18,0,112.1273317
15,79.24,18,0,111.0659307
16,79.36,18,0,113.6942811
17,78.63,18,0,111.8932052
18,78.28,18,0,111.5511587
19,78.07,18,0,111.4114474
20,79.78,18,0,113.4061847
21,78.84,18,0,113.0001082
22,78.76,18,0,112.7462515
23,78.99,18,0,112.6910155
24,78.95,18,0,112.1878062
25,78.33,18,0,111.9332866
26,78.55,18,0,111.7557603
27,78.64,18,0,111.8886849
28,78.67,18,0,114.1602925
29,78.60,18,0,111.2652743
30,78.65,18,0,112.444309
31,78.72,18,0,112.2154827
32,78.33,18,0,112.2208429
33,78.28,18,0,112.5601559
34,79.31,18,0,110.7216553
35,78.20,18,0,109.7416083
36,78.61,18,0,110.3232118
37,78.64,18,0,110.8526319
38,78.63,18,0,110.4958066
39,78.44,18,0,110.4661058
40,77.92,18,0,116.3593829
41,78.71,18,0,111.3328636
42,78.41,18,0,111.8538048
43,81.18,18,0,112.9247074
44,80.30,18,0,111.8553791
45,78.55,18,0,110.3359818
46,78.13,18,0,110.2959031
47,78.83,18,0,110.9677072
48,79.50,18,0,111.2518643
49,78.71,18,0,118.0491469
50,77.83,18,0,110.1767314
