runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,171.63,11,0,231.5066876
2,171.15,11,0,200.2559136
3,170.88,11,0,200.3069979
4,171.28,11,0,206.0488253
5,170.94,11,0,198.9778903
6,171.03,11,0,199.9001449
7,171.28,11,0,199.773437
8,222.91,11,2,251.0629519
9,170.93,11,0,199.5092661
10,223.06,11,2,251.8125154
11,170.88,11,0,199.3020928
12,171.03,11,0,199.3506313
13,170.64,11,0,198.7011375
14,170.95,11,0,199.16119
15,170.67,11,0,199.1173895
16,170.89,11,0,199.6618869
17,171.12,11,0,199.5066982
18,171.01,11,0,199.2969503
19,171.22,11,0,199.9529236
20,171.19,11,0,199.2935488
21,171.17,11,0,199.6185664
22,171.04,11,0,199.2231488
23,171.26,11,0,199.5261045
24,170.90,11,0,199.7073601
25,170.92,11,0,199.2270306
26,170.79,11,0,199.0585928
27,170.87,11,0,199.2037026
28,171.01,11,0,199.623616
29,171.07,11,0,199.3790308
30,170.80,11,0,198.8875195
31,171.64,11,0,231.8583784
32,170.90,11,0,201.0534854
33,170.97,11,0,200.9833477
34,171.05,11,0,201.6204297
35,170.98,11,0,201.3466647
36,170.98,11,0,200.5171466
37,171.01,11,0,201.6992114
38,170.84,11,0,201.0201635
39,170.82,11,0,200.2261371
40,170.91,11,0,201.5233191
41,171.08,11,0,200.1257494
42,170.81,11,0,198.8407496
43,171.10,11,0,200.1234628
44,171.18,11,0,200.1040202
45,171.00,11,0,199.2198852
46,171.04,11,0,200.0865119
47,170.86,11,0,200.0709302
48,170.95,11,0,199.2947452
49,171.02,11,0,198.9028786
50,171.20,11,0,200.3879143
51,170.93,11,0,199.1798702
52,170.81,11,0,199.5841705
53,171.24,11,0,200.1742959
54,170.89,11,0,198.8703824
55,171.10,11,0,200.3338769
