runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,316.00,11,,
2,268.00,11,,
3,297.00,11,,
4,292.00,11,,
5,284.00,11,,
6,293.00,11,,
7,302.00,11,,
8,296.00,11,,
9,298.00,11,,
10,297.00,11,,
11,297.00,11,,
12,295.00,11,,
13,295.00,11,,
14,297.00,11,,
15,299.00,11,,
16,295.00,11,,
17,293.00,11,,
18,298.00,11,,
19,298.00,11,,
20,297.00,11,,
21,299.00,11,,
22,299.00,11,,
23,298.00,11,,
24,295.00,11,,
25,298.00,11,,
26,295.00,11,,
27,299.00,11,,
28,295.00,11,,
29,300.00,11,,
30,295.00,11,,
31,299.00,11,,
32,296.00,11,,
33,299.00,11,,
34,298.00,11,,
35,296.00,11,,
36,296.00,11,,
37,295.00,11,,
38,293.00,11,,
39,298.00,11,,
40,295.00,11,,
41,299.00,11,,
42,295.00,11,,
43,295.00,11,,
44,294.00,11,,
45,301.00,11,,
46,298.00,11,,
47,295.00,11,,
48,295.00,11,,
49,296.00,11,,
50,297.00,11,,
51,299.00,11,,
52,292.00,11,,
