runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,306.1,18,0,362.1309956
2,302.32,18,0,328.8896478
3,300.95,18,0,326.7666376
4,302.66,18,0,328.0268618
5,304.86,18,0,330.0906709
6,299.71,18,0,324.8422472
7,302.82,18,0,328.0275614
8,312.24,18,1,337.4958917
9,301.54,18,0,326.5722089
10,302.91,18,0,327.9593035
11,296.7,18,0,321.5453068
12,306.95,18,1,332.7835355
13,302.64,18,0,327.5398751
14,304.38,18,0,330.0311632
15,267.23,18,1,292.757817
16,296.11,18,0,320.9492986
17,266.71,18,1,302.3344945
18,302.04,18,0,327.0316859
19,303.04,18,0,328.1926042
20,295.85,18,0,321.2924872
21,301.95,18,0,327.0394121
22,301.3,18,0,326.2184029
23,302.07,18,0,327.9746536
24,296.22,18,0,321.3279709
25,303.58,18,0,328.5796198
26,303.54,18,0,328.9791296
27,302.51,18,0,327.3046034
28,296.34,18,0,331.2926208
29,302.47,18,0,328.122808
30,311.89,18,1,337.0643555
31,303.13,18,0,358.7867054
32,297.34,18,0,323.3932758
33,308.18,18,1,333.9844128
34,302.37,18,1,327.8036654
35,310.94,18,1,336.2083448
36,304.1,18,0,329.3125517
37,301.32,18,0,326.7665913
38,295.67,18,0,321.3345041
39,300.13,18,0,325.0841489
40,295.17,18,0,320.2711216
41,292.4,18,0,317.6936901
42,310.2,18,1,335.3717229
43,295.62,18,0,321.1100056
44,304.37,18,1,331.1360189
45,300.31,18,0,325.1845719
46,299.44,18,0,324.4020675
47,295.68,18,0,321.2873353
48,271.21,18,1,296.3392358
49,299.69,18,1,325.0681327
50,302.46,18,0,327.4703322
51,293.76,18,0,319.1778851
52,311.6,18,1,337.0146682
53,301.7,18,0,326.97753
54,295.02,18,0,320.4942228
55,296.48,18,0,322.5058755
56,305.7,18,1,332.08553
57,299.78,18,0,325.5701651
58,300.05,18,0,325.3273409
59,302.72,18,0,328.2804376
60,298.79,18,0,323.8940006
