runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,560.13,9,0,639.5916444
2,521.97,9,1,587.1589163
3,634.27,9,0,695.3539523
4,613.69,9,0,674.8922307
5,633.15,9,0,693.5162413
6,639.19,9,0,699.6074777
7,619.9,9,0,680.1029629
8,631.59,9,0,691.2757143
9,609.74,9,1,666.5138038
10,636.31,9,0,695.9024616
11,559.32,9,1,641.2658284
12,611.62,9,0,675.4233949
13,601.76,9,0,661.6940364
14,633.61,9,0,694.0791964
15,637.52,9,1,697.1621029
16,618.6,9,0,676.7443242
17,625.75,9,0,685.4176254
18,601.19,9,0,659.1950175
19,631.34,9,0,691.5616981
20,615.76,9,0,675.237504
21,622.91,9,0,682.3483786
22,625.81,9,0,684.979128
23,614.17,9,0,672.9270798
24,614.43,9,0,675.8114654
25,682.83,9,0,740.9361449
26,623.03,9,0,682.6517778
27,621.18,9,0,685.8079564
28,635.63,9,0,693.9831569
29,628.66,9,0,688.3244568
30,659.7,9,1,721.9071075
31,631.33,9,0,692.3041229
32,602.28,9,0,661.3141152
33,652.23,9,0,712.6638035
34,634.34,9,0,697.0892108
35,622.44,9,0,681.1802402
36,618.67,9,1,676.5174485
37,622.39,9,0,680.9685562
38,616.78,9,0,675.7205541
39,628.99,9,0,688.0795615
40,607.53,9,0,666.0717997
41,609.61,9,0,669.454888
42,608.71,9,0,667.616381
43,639.34,9,0,698.6025033
44,614.51,9,0,673.2932805
45,650.38,9,0,709.4705795
46,626.59,9,0,684.1239953
47,673.6,9,0,732.4283075
48,599.76,9,1,657.3345384
49,610.4,9,0,669.8245909
50,635.32,9,0,693.5616804
51,571.49,9,0,630.1609691
52,651.88,9,0,711.2766519
53,520.55,9,2,578.3309745
54,591,9,0,650.0154271
55,548.75,9,1,608.1152901
56,571.53,9,2,630.0064628
57,594.73,9,0,652.900856
58,605.46,9,0,664.8508763
59,610.35,9,0,669.3354905
60,621.66,9,0,680.9454115
61,650.51,9,0,709.3355442
62,546.47,9,1,605.8991616
63,609.38,9,0,668.0871419
64,633.66,9,0,691.9352525
65,628.98,9,0,687.2413508
66,504.57,9,2,563.4120685
67,620.83,9,0,679.2427738
68,623.09,9,0,682.988973
69,625.13,9,0,684.6940451
70,550.14,9,2,608.0579113
