runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,257.31,6,0,328.318212
2,251.67,6,0,311.0881702
3,236.7,6,2,312.3789223
4,263.9,6,0,327.2940438
5,264.96,6,0,327.4822972
6,268.66,6,0,328.8852931
7,269.49,6,0,328.9675986
8,268.9,6,0,328.4795666
9,280.54,6,0,340.8044374
10,277.02,6,0,336.5331377
11,282.76,6,0,340.7042254
12,282.55,6,0,341.7222129
13,270.69,6,0,330.5722847
14,268.83,6,1,327.2804268
15,279.26,6,0,337.8389433
16,275.71,6,0,335.738794
17,284.59,6,0,343.5393678
18,261.84,6,1,321.323483
19,286.94,6,0,346.7296108
20,3236.46,6,3,3295.666616
1,255.38,6,0,327.7720096
2,213.76,6,1,273.5106437
3,255.86,6,1,335.6513373
4,265.6,6,0,324.8236746
5,270.84,6,0,329.3663072
6,266.77,6,0,329.9615032
7,272.71,6,1,334.4874342
8,254.1,6,1,314.2964264
9,288.32,6,0,347.0106093
10,285.06,6,0,344.4194758
11,262.41,6,1,322.5977773
12,275.84,6,1,335.563574
13,256.95,6,1,319.2870717
14,274.96,6,0,338.3376416
15,280.89,6,0,339.7493576
16,282.03,6,0,341.6570321
17,281.23,6,0,341.60898
18,285.29,6,0,345.3845472
19,259.98,6,1,319.2726994
20,285.51,6,0,344.8106004
1,263.98,6,1,353.2951778
2,267.19,6,0,327.2151084
3,286.12,6,0,344.9630163
4,278.09,6,0,337.7542953
5,281.37,6,0,338.9266482
6,284.05,6,0,343.6135026
7,283.53,6,0,343.3328065
8,272.11,6,0,331.8850668
9,269.18,6,0,328.4981554
10,290.63,6,0,349.9580488
11,280.73,6,0,339.4504518
12,252.13,6,1,311.7689338
13,277.62,6,0,336.8709232
14,282.01,6,0,341.2076322
15,283.06,6,0,342.8989706
16,279.48,6,0,339.2878201
17,276.67,6,0,335.007085
18,282.39,6,0,341.2540938
19,275.97,6,0,334.6684797
20,1h53m30.88240,6,4,6870.959364
