runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,569.12,9,1,644.9054162
2,560,9,2,618.1736628
3,567.14,9,0,624.5738747
4,545.45,9,2,602.1209201
5,564.19,9,1,621.9288912
6,587.02,9,1,644.8838391
7,566.52,9,0,624.0593663
8,561.19,9,1,619.695461
9,594.16,9,1,653.0361181
10,590.72,9,2,648.98425
11,503.75,9,2,561.926343
12,579.25,9,0,637.6573861
13,580.56,9,1,638.4621046
14,559.58,9,0,618.551105
15,550.96,9,1,608.1597337
16,564.56,9,1,623.6463228
17,570.67,9,0,628.2780168
18,544.28,9,2,601.5952685
19,594.02,9,1,651.350664
20,589.64,9,2,647.0768584
21,580.33,9,2,651.4434265
22,535.98,9,2,593.7435447
23,561.51,9,0,619.4068979
24,576.64,9,0,633.415319
25,571.85,9,0,628.6267348
26,584,9,0,640.9613242
27,631.18,9,1,688.2427295
28,574.16,9,0,631.8239027
29,516.94,9,3,572.9920794
30,549.28,9,0,607.7754452
31,548.36,9,1,606.3936641
32,557.39,9,1,614.3713435
33,550.49,9,1,606.7562724
34,541.84,9,0,599.8760671
35,547.08,9,1,603.9612428
36,555.49,9,0,611.7759003
37,525.5,9,2,583.7676522
38,569.17,9,0,625.7690586
39,541.13,9,1,599.1132784
40,570.63,9,0,628.9853412
41,582.4,9,0,654.9132801
42,565.24,9,0,623.452015
43,539.38,9,0,597.0994878
44,552.5,9,0,611.0706606
45,555.78,9,1,613.9177601
46,571.04,9,0,628.8864057
47,538.59,9,1,595.3885402
48,537.36,9,1,596.2643966
49,583.83,9,0,641.3852383
50,576.7,9,1,633.8951164
51,530.65,9,0,587.7640564
52,544.64,9,2,601.4269575
53,576.03,9,0,632.9273984
54,560.69,9,0,618.3767658
55,556.14,9,0,614.2289228
56,557.55,9,1,614.4562991
57,590.46,9,0,647.7931369
58,585.63,9,0,643.368078
59,537.57,9,0,594.5213807
60,576.58,9,0,633.0661466
61,508.41,9,2,579.1473141
62,555.41,9,1,625.5173894
63,577.33,9,0,634.4534435
64,574.67,9,0,632.999787
65,546.83,9,1,604.0511079
66,566.23,9,0,627.2624233
67,553.67,9,2,612.1722915
68,566.98,9,0,624.5339978
69,577.02,9,1,637.9097682
70,542.45,9,1,601.3913734
71,530.12,9,1,586.6153809
72,524.05,9,1,582.0061688
73,594.82,9,1,652.8487514
74,504.78,9,2,563.1275144
75,567.46,9,0,626.1018544
76,571.91,9,0,629.1374723
77,569.41,9,0,626.2885222
78,611.04,9,0,668.1062435
79,551.62,9,0,609.8966652
80,558.73,9,0,615.979887
81,557.93,9,1,635.63103
82,580.55,9,0,638.4901054
83,576.69,9,1,635.4847559
84,546.02,9,1,604.9201365
85,539.56,9,2,597.3238265
86,487.59,9,2,545.8038915
87,545.13,9,1,602.7377668
88,591.97,9,0,649.6047177
89,573.54,9,0,631.9593571
90,586.53,9,2,645.1415966
91,486.99,9,3,545.3292641
92,567.72,9,0,625.6831652
93,559.21,9,2,616.7777241
94,566.29,9,0,624.380862
95,575.56,9,0,634.2790383
96,570.3,9,2,628.0908805
97,528.63,9,2,588.7734104
98,578.39,9,1,635.864144
99,587.95,9,0,646.289989
100,582.72,9,0,640.2307084
