runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,262.07,6,0,335.6826445
2,226.51,6,1,287.269702
3,228.12,6,1,293.8124893
4,233.27,6,0,302.0802322
5,210.38,6,1,267.7467831
6,239.78,6,0,296.1117478
7,218.72,6,3,277.8826502
8,236.34,6,0,295.4581699
9,226.05,6,1,286.6240984
10,223.7,6,1,283.6131654
11,230.08,6,0,289.7985456
12,238.92,6,0,298.5253536
13,228.71,6,0,287.6476405
14,232.9,6,0,291.2759988
15,231.42,6,0,290.2357101
16,213.6,6,1,272.2831822
17,239.89,6,0,298.8410194
18,230.67,6,0,289.9727802
19,223.65,6,1,282.2773298
20,211.81,6,1,270.6640774
21,238.03,6,0,305.3972671
22,248.1,6,0,305.7403274
23,225.71,6,1,283.2924307
24,236.69,6,0,294.5697392
25,246.74,6,0,304.1002161
26,227.59,6,1,284.3473036
27,225.12,6,1,283.4990022
28,230.19,6,3,287.5095559
29,221.69,6,1,278.656897
30,222.58,6,1,278.9303229
31,252.75,6,1,309.8419321
32,240.55,6,0,298.5708174
33,225.03,6,1,281.7015137
34,237.77,6,0,295.1642746
35,278.29,6,1,335.6019727
36,230.28,6,0,288.8338326
37,240.17,6,1,297.3944163
38,236.27,6,0,293.536379
39,243.94,6,0,301.3229176
40,216.16,6,1,274.2919124
41,255.97,6,0,307.7867388
42,239.81,6,0,299.3113296
43,236.82,6,0,295.285572
44,236.08,6,0,294.6438024
45,231.2,6,1,289.5652256
46,236.65,6,0,293.0670371
47,237.55,6,0,300.3230257
48,230.19,6,1,301.0967366
49,235.41,6,0,293.1444719
50,247.45,6,0,305.210378
51,239.71,6,0,298.2294018
52,250.39,6,1,307.8768072
53,246.39,6,0,303.5432732
54,245.7,6,0,303.9219773
55,240.05,6,0,299.0872465
56,234,6,0,292.6912086
57,212.45,6,1,270.1083925
58,239.3,6,0,296.3942237
59,222.62,6,1,280.9612397
60,1434.16,6,1,1492.539311
61,249.2,6,0,320.9249414
62,236.77,6,0,294.3198895
63,238.74,6,0,296.8660977
64,219.27,6,1,277.5811316
65,245.12,6,0,301.9957147
66,255.84,6,0,311.9164621
67,233.72,6,1,290.4555549
68,251.17,6,0,308.2576656
69,248.58,6,0,306.288772
70,251.13,6,0,308.3401731
71,241.47,6,0,299.4328681
72,251.57,6,0,309.4300659
73,251.36,6,0,308.9561714
74,243.56,6,0,300.8957648
75,248.3,6,0,305.9675397
76,247.87,6,0,306.7910727
77,247.16,6,0,304.4172995
78,242.18,6,1,298.801091
79,249.49,6,0,306.5554123
