runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,91.13,9,0,213.1238264
2,90.67,9,0,135.4800617
3,89.49,9,0,132.9355471
4,90.17,9,0,135.0524536
5,91.72,9,0,138.3562029
6,90.19,9,0,138.0063605
7,93.12,9,0,149.3441385
8,91.8,9,0,148.0910812
9,98.48,9,0,153.9438331
10,92.25,9,0,147.3451175
11,94.31,9,0,149.8508216
12,92.14,9,0,146.9731377
13,103.62,9,0,160.4160952
14,101.63,9,0,159.6173298
15,103.27,9,0,158.1604131
16,102.4,9,0,156.562552
17,102.48,9,0,154.3572289
18,101.14,9,0,152.2468615
19,102.47,9,0,150.5194586
20,102.21,9,0,149.1965044
21,94.65,9,0,143.96594
22,94.14,9,0,140.8270957
23,94.26,9,0,141.7270216
24,100.84,9,0,151.1026546
25,112.64,9,0,177.2188041
26,100.41,9,0,148.7654952
27,94.52,9,0,142.1479157
28,94.84,9,0,141.8221914
29,92.66,9,0,140.6521411
30,92.34,9,0,139.4826119
31,94.28,9,0,143.0220385
32,92.84,9,0,140.2668129
33,93.1,9,0,141.172779
34,91.56,9,0,138.7142129
35,92.73,9,0,140.942256
36,93.72,9,0,140.8274734
37,94.7,9,0,142.482668
38,93.93,9,0,142.4621156
39,96.02,9,0,143.7887253
40,94.53,9,0,142.2829271
41,90.6,9,0,207.975529
42,89.91,9,0,138.4793086
43,101.96,9,0,152.3632409
44,99.85,9,0,147.2824484
45,101.84,9,0,149.8009503
46,99.38,9,0,146.4715484
47,94.37,9,0,142.5828788
48,93.13,9,0,140.4876195
49,96.12,9,0,143.8805198
50,94.81,9,0,142.237981
51,95.39,9,0,142.2943216
52,93.9,9,0,141.5977952
53,97.21,9,0,144.5903036
54,94.67,9,0,140.9315416
55,93.68,9,0,141.2491119
