runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,37.635,6,1,152.8715263
2,57.344,6,2,101.4398577
3,42,6,0,85.2910332
4,43.019,6,0,87.1950024
5,43.504,6,0,89.5259836
6,39.524,6,0,86.7208742
7,44.19,6,0,95.2194899
8,44.422,6,0,96.1126459
9,40.445,6,0,93.3679367
10,41.39,6,0,93.5601694
11,43.368,6,0,95.6950174
12,41.386,6,0,94.0714405
13,43.78,6,0,98.030989
14,41.143,6,0,95.8070767
15,43.473,6,0,93.2192501
16,43.258,6,0,95.0301503
17,43.6,6,0,98.8367521
18,43.478,6,0,95.4752734
19,40.046,6,0,88.9246482
20,44.484,6,0,95.9537552
21,43.694,6,0,100.2862534
22,56.195,6,0,113.4026725
23,53.998,6,0,112.0919782
24,53.494,6,0,111.1171832
25,53.534,6,0,110.1818974
26,45.825,6,0,97.1027595
27,43.368,6,0,92.041978
28,44.401,6,0,93.1372653
29,43.581,6,0,92.2939559
30,43.641,6,0,91.6215506
31,41.669,6,0,90.7171259
32,43.146,6,0,90.4911198
33,45.376,6,0,92.9059334
34,43.004,6,0,90.4094822
35,42.949,6,0,90.3357467
36,45.33,6,0,92.9552
37,42.272,6,0,90.2950076
38,54.933,6,1,102.4114054
39,45.353,6,0,92.3632928
40,42.727,6,0,89.703328
41,44.379,6,0,92.0729524
42,44.549,6,0,92.4256102
43,45.511,6,0,92.6932444
44,42.743,6,0,90.4340468
45,42.883,6,0,90.7485001
46,44.759,6,0,92.2016604
47,40.91,6,0,87.9622526
48,44.362,6,0,91.831998
49,45.52,6,0,93.1530579
50,41.838,6,0,89.4128039
