runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,296,9,,
2,311,9,,
3,304,9,,
4,310,9,,
5,314,9,,
6,322,9,,
7,310,9,,
8,310,9,,
9,320,9,,
10,315,9,,
11,317,9,,
12,320,9,,
13,320,9,,
14,304,9,,
15,306,9,,
16,302,9,,
17,300,9,,
18,309,9,,
19,312,9,,
20,312,9,,
21,315,9,,
22,316,9,,
23,319,9,,
24,321,9,,
25,310,9,,
26,326,9,,
27,322,9,,
28,297,9,,
29,304,9,,
30,300,9,,
31,314,9,,
32,312,9,,
33,304,9,,
34,317,9,,
35,323,9,,
36,306,9,,
37,320,9,,
38,373,9,,
39,373,9,,
40,391,9,,
41,392,9,,
42,386,9,,
43,389,9,,
44,377,9,,
45,385,9,,
46,380,9,,
47,375,9,,
48,384,9,,
49,374,9,,
50,383,9,,
51,380,9,,
52,375,9,,
53,375,9,,
54,373,9,,
55,387,9,,
56,375,9,,
