runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,293,9,,
2,311,9,,
3,320,9,,
4,312,9,,
5,310,9,,
6,318,9,,
7,298,9,,
8,313,9,,
9,293,9,,
10,298,9,,
11,304,9,,
12,315,9,,
13,313,9,,
14,313,9,,
15,292,9,,
16,305,9,,
17,303,9,,
18,317,9,,
19,319,9,,
20,333,9,,
21,313,9,,
22,323,9,,
23,294,9,,
24,324,9,,
25,323,9,,
26,307,9,,
27,326,9,,
28,324,9,,
29,324,9,,
30,323,9,,
31,315,9,,
32,297,9,,
33,316,9,,
34,314,9,,
35,318,9,,
36,325,9,,
37,327,9,,
38,316,9,,
39,307,9,,
40,316,9,,
41,319,9,,
42,298,9,,
43,317,9,,
44,302,9,,
45,311,9,,
46,315,9,,
47,312,9,,
48,298,9,,
49,311,9,,
50,293,9,,
51,297,9,,
52,318,9,,
53,330,9,,
54,316,9,,
55,327,9,,
56,321,9,,
57,325,9,,
