runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,214.38,9,0,329.9394564
2,235.65,9,3,286.8653816
3,226.98,9,2,269.9281679
4,240.84,9,0,285.5027541
5,222.59,9,1,299.1285122
6,231.66,9,1,273.7516079
7,231.95,9,0,282.8274965
8,230.58,9,1,282.4220206
9,238.84,9,1,291.9928608
10,215.95,9,1,265.9693863
11,237.89,9,2,289.5190196
12,230.9,9,0,280.7266816
13,224.54,9,1,277.8815349
14,216.55,9,2,270.6846079
15,219.25,9,1,272.8279049
16,220.78,9,2,273.0146528
17,230.23,9,0,279.9460859
18,241.03,9,0,294.4091554
19,224,9,1,281.5603651
20,245.94,9,1,295.5865928
21,194.43,9,2,238.6334356
22,224.78,9,3,269.0493747
23,216.23,9,2,264.9497055
24,242.07,9,4,286.7529097
25,228.94,9,1,270.9444887
26,234.71,9,2,284.5610727
27,237.27,9,1,288.2042352
28,198.59,9,3,252.5506988
29,229.79,9,0,274.1126773
30,216.52,9,2,269.9423882
31,238.79,9,0,291.7982836
32,234.02,9,0,287.5224222
33,230.04,9,0,283.8545261
34,240.43,9,0,293.8410332
35,234.6,9,1,288.1127244
36,212.11,9,0,265.7524224
37,222.11,9,0,264.0068112
38,237.43,9,3,282.7903637
39,238.37,9,0,283.661401
40,248.3,9,3,297.1397684
41,231.51,9,1,281.3636802
42,228.71,9,1,280.9031565
43,239.93,9,1,293.0277574
44,277.71,9,2,324.1440268
45,239.55,9,0,291.3679216
46,255.28,9,1,308.4686279
47,239.09,9,1,288.9457284
48,245.46,9,1,300.3705776
49,255.23,9,1,307.7752427
50,237.78,9,1,290.2443017
51,243,9,0,296.7329616
52,245.08,9,0,298.8623008
53,244.46,9,0,298.2661948
54,250.86,9,0,299.5374405
55,260.32,9,1,314.3279003
56,242.36,9,0,294.281622
57,253.07,9,1,306.5638342
58,228.81,9,1,280.052429
59,250.86,9,1,303.4873653
60,251.93,9,1,301.3728038
61,229.42,9,1,280.0915507
62,237.08,9,0,284.6753937
63,255.51,9,1,308.7495056
64,259.66,9,1,309.5219845
65,254.12,9,1,306.104103
66,218.15,9,2,342.2339037
67,209.65,9,2,252.0019235
68,287.97,9,2,341.8687184
69,263.9,9,1,314.4619159
70,278.47,9,1,331.5102152
71,283.26,9,2,336.7307308
72,258.95,9,3,311.7650896
73,279.54,9,3,320.3555469
74,277.63,9,2,320.1591657
75,272.51,9,1,326.0481176
76,231.57,9,1,286.2565296
77,265.66,9,2,318.859056
78,249.12,9,2,299.7256281
79,254.17,9,3,308.5912687
80,248.49,9,2,298.274847
81,259.75,9,1,314.1570687
82,234.8,9,2,288.4639978
83,292.02,9,2,345.7403572
84,242.42,9,3,295.9065744
85,250.55,9,0,303.9254539
86,240.01,9,2,286.6528583
87,275.08,9,1,324.5976833
88,234.75,9,3,282.867971
89,263.79,9,1,308.8188191
90,264.81,9,2,317.9299679
91,202.27,9,0,324.4881422
92,258.13,9,1,305.9456323
93,257.85,9,0,324.8856213
94,254.64,9,1,301.6162903
95,268.3,9,1,322.9661823
96,251.05,9,0,298.7416351
97,257.65,9,1,305.020512
98,245.39,9,1,301.6187784
99,254.4,9,0,302.5509372
100,260.49,9,0,308.7204859
101,250.64,9,0,298.3810038
102,250.15,9,0,297.7323978
103,253.09,9,0,302.2036152
104,250.1,9,0,300.5852045
105,251.53,9,1,300.1484582
106,257.75,9,2,306.9238087
107,253.58,9,0,301.1455755
108,249.56,9,0,297.4758052
109,253.55,9,0,300.8667105
110,245.94,9,1,293.5578109
111,263.13,9,1,311.0225675
112,249.69,9,0,297.6104794
113,262.33,9,0,309.4385983
114,262.07,9,1,309.6725025
115,253.21,9,1,301.1587164
116,198.29,9,0,259.8140002
117,230.94,9,0,276.0137793
118,245.17,9,0,296.9338357
119,264.23,9,1,320.4194815
120,261.22,9,1,312.6527263
121,257.28,9,1,310.7709136
122,256.75,9,0,307.9491665
123,277.73,9,3,324.7413143
124,262.61,9,1,314.1728421
125,259.09,9,1,315.2992419
126,254.64,9,1,308.2499919
127,264.13,9,0,312.3627225
128,259.78,9,1,308.6044402
129,257.31,9,0,306.278643
130,268.19,9,1,316.3440143
131,251.42,9,0,308.390922
132,251.63,9,0,300.0076428
133,272.54,9,1,321.1800022
134,240.47,9,1,289.577015
135,256.37,9,1,304.13438
