runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,257.13,9,5,385.9043819
2,257.67,9,3,305.0758803
3,206.06,9,0,251.7779921
4,302.03,9,5,357.6446764
5,246.4,9,5,290.5744687
6,219.35,9,1,275.9260629
7,225.82,9,1,273.4374194
8,214.32,9,2,262.8982102
9,225.02,9,1,272.8203783
10,254.17,9,2,302.8570582
11,237.92,9,0,286.9083649
12,235.98,9,0,284.2816658
13,226.38,9,2,274.9871561
14,233.36,9,0,282.4315558
15,236.8,9,2,285.167513
16,228.22,9,1,276.8655117
17,242.26,9,0,290.9733941
18,219.24,9,1,269.101685
19,265.66,9,2,314.1147868
20,235.85,9,0,284.3217938
21,242.92,9,0,292.2181915
22,298.83,9,6,348.9533139
23,233.48,9,0,289.7989948
24,233.18,9,2,281.5847941
25,227.08,9,0,275.8151536
26,232.03,9,0,280.423401
27,194.34,7,0,242.4968837
28,241,9,0,290.3284336
29,230.38,9,0,279.1592048
30,231.79,9,1,280.3783888
31,228.92,9,2,279.5636946
32,270.47,9,2,318.7846832
33,237.09,9,1,285.6102159
34,253.17,9,2,301.2854836
35,236.54,9,1,285.2713017
36,211.37,9,1,259.8804933
37,263.87,9,1,311.5231198
38,230.41,9,0,279.2698423
39,221.9,9,0,270.5871708
40,262.21,9,1,310.7622271
41,230.14,9,0,279.7973983
42,221.98,9,0,270.4503675
43,232.14,9,1,280.2487338
44,247.77,9,2,296.8766071
45,248.9,9,3,297.2274869
46,253.04,9,4,301.8490483
47,238.95,9,2,287.034287
48,224.53,9,0,272.5671044
49,280.26,9,2,328.0543384
50,234.46,9,2,283.6829508
51,206.94,9,0,334.3565854
52,262.46,9,1,310.2128114
53,256.41,9,1,302.9682887
54,251.4,9,2,304.3464339
55,219.01,9,3,274.5113584
56,242.83,9,2,293.8694068
57,259.09,9,0,306.9752406
58,262.69,9,1,317.6501092
59,214.94,9,1,269.3030842
60,240.93,9,3,297.2806064
61,255.85,9,1,301.855567
62,252.45,9,0,308.5542834
63,234.72,9,1,290.5437159
64,239.7,9,2,295.5969746
65,246.81,9,0,298.3616264
66,252.11,9,0,308.9317902
67,264.99,9,1,321.7694625
68,229.17,9,1,283.2103324
69,259.77,9,1,315.7558704
70,232.78,9,1,284.7965127
71,243.64,9,2,293.1731531
72,236.27,9,1,294.1978164
73,241.44,9,1,290.2870652
74,253.67,9,2,303.1122299
75,286.32,9,1,334.6166874
76,263.17,9,1,311.1187018
77,254.63,9,2,302.7238206
78,234.26,9,2,282.4985169
79,240.05,9,4,288.0225185
80,216.72,9,3,265.0964144
81,239.93,9,3,287.337961
82,249.52,9,1,297.1907117
83,209.27,9,3,256.8178797
84,244.71,9,2,292.4303427
85,220.19,9,0,351.9870637
86,246.8,9,0,295.0606976
87,255.61,9,1,308.7608846
88,243.6,9,1,296.3905424
89,260.48,9,1,312.2870829
90,254.52,9,1,307.2980277
91,245.77,9,2,297.9359644
92,258.48,9,1,310.7733432
93,255.35,9,0,309.7124619
94,246.37,9,0,302.4807919
95,234.31,9,2,290.3479295
96,251.76,9,0,307.2086731
97,253.76,9,0,309.2108814
98,259.91,9,0,316.3111797
99,248.99,9,2,303.0669431
100,252.06,9,1,301.1096307
101,273.22,9,1,329.049449
102,214.84,9,1,270.04505
103,252.97,9,1,309.5948935
104,230.4,9,1,286.1825101
105,207.38,9,1,264.9072726
106,246.81,9,1,298.8461052
107,251.61,9,1,304.6573916
108,247.6,9,1,302.1144893
109,224.39,9,3,272.4822184
110,272.33,9,1,320.657571
111,248.51,9,1,295.8241682
112,261.76,9,1,309.4822895
113,257.75,9,0,306.0439743
114,254.82,9,2,303.6554495
115,271.35,9,1,321.3772212
116,244.33,9,3,292.6729626
117,256.63,9,3,304.7268534
118,271.41,9,0,321.1011133
119,276.63,9,1,331.4826534
120,267.03,9,1,358.3469105
121,256.24,9,0,304.8915361
122,277.31,9,1,326.5722179
123,277.81,9,1,327.9217046
124,248.69,9,2,298.2426466
125,268.71,9,2,317.2876394
126,262.48,9,1,312.4399661
127,273.6,9,0,333.3582405
128,272.28,9,2,331.3431021
129,249.49,9,2,303.113088
130,279.05,9,1,327.1762303
131,259.75,9,2,310.4534919
132,297.45,9,2,345.2498209
133,254.27,9,1,301.5677181
134,271.77,9,0,320.302498
135,265.03,9,0,323.1450477
136,265.74,9,0,321.8344963
137,268.38,9,1,325.4536527
138,267.87,9,0,324.5404837
139,294.89,9,2,350.9126537
140,247.72,9,3,297.3835335
141,257.48,9,0,306.1258698
142,244.97,9,1,295.28836
143,243.22,9,1,292.1272632
144,268.31,9,1,319.0049789
145,241.05,9,1,289.3666201
146,241.16,9,1,289.7490511
147,244.11,9,1,292.0742289
148,279.92,9,1,329.0218832
149,278.94,9,1,327.3779316
150,272.25,9,1,326.1300508
151,264.57,9,1,315.1915619
152,271.06,9,1,328.313698
153,245.62,9,1,296.793827
154,237.74,9,1,285.9760722
155,224.51,9,1,281.8831957
156,235.11,9,2,285.5324129
157,266.47,9,1,323.7468004
158,261.77,9,1,311.0698867
159,253.85,9,0,303.6199783
160,256.69,9,1,305.4266961
161,249.22,9,1,297.6755444
162,266.15,9,1,313.4582777
163,268.63,9,1,316.7926137
164,226.89,9,1,274.7590995
165,217.82,9,0,310.0865592
166,223.27,9,1,270.2171963
167,251.5,9,0,306.3963829
168,245.71,9,0,297.9987049
169,237.9,9,0,288.1053124
170,214.8,9,3,268.4862445
171,247.63,9,0,298.9773424
172,248.34,9,0,301.1673979
173,245.45,9,0,299.2997026
174,259.22,9,2,312.5063421
175,253.21,9,0,300.6625851
176,229.95,9,2,281.0363749
177,227.06,9,1,273.5252043
178,256.51,9,0,312.6661422
179,238.07,9,0,288.4833309
180,246.55,9,0,298.9015059
181,243.49,9,1,296.0556302
182,227.49,9,1,281.3383934
183,222.78,9,1,278.9401548
184,260.69,9,1,317.4887658
185,249.44,9,0,303.7954606
186,216.22,9,3,268.7287564
187,237.5,9,0,290.1281003
188,243.15,9,0,296.0300092
189,230.04,9,2,285.452221
190,246.7,9,0,297.249536
191,249.84,9,1,306.3178719
192,248.74,9,0,329.8026812
193,244.85,9,0,296.9463209
194,251.38,9,1,303.2379852
195,247.85,9,0,299.500424
196,230.86,9,1,286.2097035
197,248.34,9,1,303.8197897
198,238.44,9,0,294.4064088
199,264.49,9,1,321.3381389
200,257.39,9,0,313.6595427
201,256.04,9,0,313.9160082
202,259.46,9,0,315.5907597
203,256.88,9,0,312.9648027
204,229.31,9,2,285.3264787
205,246.44,9,0,301.3174302
206,112.22,6,3,166.0676357
207,257.61,9,0,317.937532
208,254.05,9,0,309.3571189
209,226.13,9,1,278.9216086
