runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;258.25;6;1;330.8999091
2;225.62;6;0;284.9712375
3;241.77;6;0;300.2298464
4;250.32;6;0;308.4890388
5;251.34;6;0;308.5773208
6;253.52;6;0;310.5611865
7;259.4;6;0;317.0945157
8;252.15;6;0;310.349373
9;255.98;6;0;312.8554019
10;248.26;6;0;307.1292981
11;252.23;6;0;307.9784181
12;250.15;6;0;307.1962231
13;253.61;6;0;311.0205878
14;255.28;6;0;312.5736815
15;267.5;6;0;326.1819633
16;257.22;6;0;314.6169214
17;254.75;6;0;311.5264116
18;256.94;6;0;314.4057953
19;278.8;6;1;337.4654884
