runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;237.43;6;0;312.7358921
2;235.12;6;0;291.5038447
3;239.78;6;0;297.0081501
4;233.23;6;0;289.8056699
5;266.67;6;1;323.7325108
6;220.24;6;0;277.652192
7;224.03;6;0;282.221933
8;230.75;6;0;287.9920869
9;228.09;6;0;284.5380203
10;227.17;6;0;284.2598854
11;219.94;6;1;275.6585809
12;229.3;6;0;286.7371361
13;229.52;6;0;287.7212535
14;223.77;6;0;280.806778
15;227.61;6;0;284.0650453
16;227.35;6;0;284.3989333
17;224.78;6;0;281.7246265
18;236.59;6;1;292.3630206
19;224.06;6;0;281.0423703
