runNumber;failingTestName
1;ArticleTests.testClickLink_fullText_assertPreviewShown
1;ArticleTests.testClickLink_partialText_assertPreviewShown
1;ArticleTests.testOpeningAndClosingReferences
1;ArticleTests.testTableOfContents_checkSubTitles
1;RotationTests.testOpenTab_rotatePhone
1;TabTests.testOpenArticleInNewTab
13;ArticleTests.testClickLink_fullText_assertPreviewShown
13;ArticleTests.testOpeningAndClosingReferences
13;ArticleTests.testTableOfContents_checkSubTitles
13;RotationTests.testOpenTab_rotatePhone
13;TabTests.testOpenArticleInNewTab
14;ArticleTests.testClickLink_fullText_assertPreviewShown
14;ArticleTests.testClickLink_partialText_assertPreviewShown
14;ArticleTests.testOpeningAndClosingReferences
14;ArticleTests.testTableOfContents_checkSubTitles
14;RotationTests.testOpenTab_rotatePhone
14;TabTests.testOpenArticleInNewTab
15;ArticleTests.testClickLink_fullText_assertPreviewShown
15;ArticleTests.testClickLink_partialText_assertPreviewShown
15;ArticleTests.testOpeningAndClosingReferences
15;ArticleTests.testTableOfContents_checkSubTitles
