runNumber;failingTestName
1;ArticleTests.testTableOfContents_checkSubTitles
1;RotationTests.testOpenTab_rotatePhone
4;ArticleTests.testOpeningAndClosingReferences
4;RotationTests.testOpenTab_rotatePhone
6;ArticleTests.testOpeningAndClosingReferences
6;ArticleTests.testTableOfContents_checkSubTitles
6;RotationTests.testOpenTab_rotatePhone
7;ArticleTests.testClickLink_partialText_assertPreviewShown
7;RotationTests.testOpenTab_rotatePhone
8;ArticleTests.testClickLink_partialText_assertPreviewShown
8;ArticleTests.testOpeningAndClosingReferences
8;ArticleTests.testTableOfContents_checkSubTitles
9;ArticleTests.testClickLink_fullText_assertPreviewShown
9;ArticleTests.testClickLink_partialText_assertPreviewShown
12;ArticleTests.testClickLink_fullText_assertPreviewShown
12;ArticleTests.testTableOfContents_checkSubTitles
14;ArticleTests.testClickLink_partialText_assertPreviewShown
16;ArticleTests.testClickLink_fullText_assertPreviewShown
16;ArticleTests.testOpeningAndClosingReferences
16;ArticleTests.testTableOfContents_checkSubTitles
16;RotationTests.testOpenTab_rotatePhone
16;TabTests.testOpenArticleInNewTab
17;ArticleTests.testClickLink_fullText_assertPreviewShown
17;ArticleTests.testTableOfContents_checkSubTitles
17;RotationTests.testOpenTab_rotatePhone
20;ArticleTests.testClickLink_partialText_assertPreviewShown
20;ArticleTests.testOpeningAndClosingReferences
20;TabTests.testOpenArticleInNewTab
