runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;43.59;6;0;159.0345319
2;42.15;6;0;87.329471
3;41.671;6;0;85.0402611
4;40.318;6;0;83.3054477
5;43.369;6;0;87.8740168
6;43.892;6;0;87.5943089
7;41.002;6;0;83.982157
8;41.547;6;0;84.4443719
9;41.743;6;0;88.0844376
10;42.439;6;0;90.5969569
11;40.496;6;0;89.4457369
12;46.749;6;0;92.9515255
13;47.757;6;0;99.574474
14;47.385;6;0;100.5313096
15;48.596;6;0;103.6423618
16;47.874;6;0;103.2670869
17;48.605;6;0;104.0881271
18;49.676;6;0;104.5036904
19;47.719;6;0;103.0385852
20;46.595;6;0;101.8879791
21;48.017;6;0;102.6287958
22;49.378;6;0;105.1912647
23;48.566;6;0;103.6861247
24;43.482;6;0;99.0217947
25;43.093;6;0;99.0392142
26;42.292;6;0;97.8167218
27;43.56;6;0;96.758854
28;43.348;6;0;96.8757886
29;44.188;6;0;97.4900023
30;42.482;6;0;89.6462673
31;42.522;6;0;93.1806849
32;44.172;6;0;90.9389625
33;42.915;6;0;94.8008822
34;43.654;6;0;90.6569455
35;43.324;6;0;93.5161752
