runNumber;failingTestName
1;ArticleTests.testClickLink_fullText_assertPreviewShown
1;ArticleTests.testClickLink_partialText_assertPreviewShown
1;ArticleTests.testOpeningAndClosingReferences
1;ArticleTests.testTableOfContents_checkSubTitles
1;RotationTests.testOpenTab_rotatePhone
1;TabTests.testOpenArticleInNewTab
2;ArticleTests.testClickLink_fullText_assertPreviewShown
2;ArticleTests.testClickLink_partialText_assertPreviewShown
2;ArticleTests.testOpeningAndClosingReferences
2;ArticleTests.testTableOfContents_checkSubTitles
2;RotationTests.testOpenTab_rotatePhone
2;TabTests.testOpenArticleInNewTab
3;ArticleTests.testClickLink_fullText_assertPreviewShown
3;ArticleTests.testClickLink_partialText_assertPreviewShown
3;ArticleTests.testOpeningAndClosingReferences
3;ArticleTests.testTableOfContents_checkSubTitles
3;RotationTests.testOpenTab_rotatePhone
3;TabTests.testOpenArticleInNewTab
4;ArticleTests.testClickLink_fullText_assertPreviewShown
4;ArticleTests.testClickLink_partialText_assertPreviewShown
4;ArticleTests.testOpeningAndClosingReferences
4;ArticleTests.testTableOfContents_checkSubTitles
4;RotationTests.testOpenTab_rotatePhone
4;TabTests.testOpenArticleInNewTab
5;ArticleTests.testClickLink_fullText_assertPreviewShown
5;ArticleTests.testClickLink_partialText_assertPreviewShown
5;ArticleTests.testOpeningAndClosingReferences
5;ArticleTests.testTableOfContents_checkSubTitles
5;RotationTests.testOpenTab_rotatePhone
5;TabTests.testOpenArticleInNewTab
6;ArticleTests.testClickLink_fullText_assertPreviewShown
6;ArticleTests.testClickLink_partialText_assertPreviewShown
6;ArticleTests.testOpeningAndClosingReferences
6;ArticleTests.testTableOfContents_checkSubTitles
6;RotationTests.testOpenTab_rotatePhone
6;TabTests.testOpenArticleInNewTab
7;ArticleTests.testClickLink_fullText_assertPreviewShown
7;ArticleTests.testClickLink_partialText_assertPreviewShown
7;ArticleTests.testOpeningAndClosingReferences
7;ArticleTests.testTableOfContents_checkSubTitles
7;RotationTests.testOpenTab_rotatePhone
7;TabTests.testOpenArticleInNewTab
8;ArticleTests.testClickLink_fullText_assertPreviewShown
8;ArticleTests.testClickLink_partialText_assertPreviewShown
8;ArticleTests.testOpeningAndClosingReferences
8;ArticleTests.testTableOfContents_checkSubTitles
8;RotationTests.testOpenTab_rotatePhone
8;TabTests.testOpenArticleInNewTab
9;ArticleTests.testClickLink_fullText_assertPreviewShown
9;ArticleTests.testClickLink_partialText_assertPreviewShown
9;ArticleTests.testOpeningAndClosingReferences
9;ArticleTests.testTableOfContents_checkSubTitles
9;RotationTests.testOpenTab_rotatePhone
9;TabTests.testOpenArticleInNewTab
10;ArticleTests.testClickLink_fullText_assertPreviewShown
10;ArticleTests.testClickLink_partialText_assertPreviewShown
10;ArticleTests.testOpeningAndClosingReferences
10;ArticleTests.testTableOfContents_checkSubTitles
10;RotationTests.testOpenTab_rotatePhone
10;TabTests.testOpenArticleInNewTab
11;ArticleTests.testClickLink_fullText_assertPreviewShown
11;ArticleTests.testClickLink_partialText_assertPreviewShown
11;ArticleTests.testOpeningAndClosingReferences
11;ArticleTests.testTableOfContents_checkSubTitles
11;RotationTests.testOpenTab_rotatePhone
11;TabTests.testOpenArticleInNewTab
12;ArticleTests.testClickLink_fullText_assertPreviewShown
12;ArticleTests.testClickLink_partialText_assertPreviewShown
12;ArticleTests.testOpeningAndClosingReferences
12;ArticleTests.testTableOfContents_checkSubTitles
12;RotationTests.testOpenTab_rotatePhone
12;TabTests.testOpenArticleInNewTab
13;ArticleTests.testClickLink_fullText_assertPreviewShown
13;ArticleTests.testClickLink_partialText_assertPreviewShown
13;ArticleTests.testOpeningAndClosingReferences
13;ArticleTests.testTableOfContents_checkSubTitles
13;RotationTests.testOpenTab_rotatePhone
13;TabTests.testOpenArticleInNewTab
14;ArticleTests.testClickLink_fullText_assertPreviewShown
14;ArticleTests.testClickLink_partialText_assertPreviewShown
14;ArticleTests.testOpeningAndClosingReferences
14;ArticleTests.testTableOfContents_checkSubTitles
14;RotationTests.testOpenTab_rotatePhone
14;TabTests.testOpenArticleInNewTab
15;ArticleTests.testClickLink_fullText_assertPreviewShown
15;ArticleTests.testClickLink_partialText_assertPreviewShown
15;ArticleTests.testOpeningAndClosingReferences
15;ArticleTests.testTableOfContents_checkSubTitles
15;RotationTests.testOpenTab_rotatePhone
15;TabTests.testOpenArticleInNewTab
