runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;253.36;6;1;313.3802375
2;303.05;6;0;368.6167287
3;310.19;6;0;374.6871275
4;311.04;6;0;374.9797214
5;315.55;6;0;379.3999594
6;315.31;6;0;379.5617053
7;313.23;6;0;378.9995875
8;301.84;6;1;366.9303825
9;319.55;6;0;383.9117388
10;313.32;6;0;377.6803589
11;314.53;6;0;378.7859448
12;316.83;6;0;382.042001
13;311.85;6;1;376.3635643
14;316.14;6;0;380.4017313
15;312.64;6;0;376.8382814
16;316.25;6;0;380.6350169
17;316.49;6;0;382.8944912
18;313.37;6;0;377.4790255
19;312.4;6;0;376.9706721
