runNumber;failingTestName
2;ArticleTests.testClickLink_fullText_assertPreviewShown
3;ArticleTests.testClickLink_fullText_assertPreviewShown
5;ArticleTests.testOpeningAndClosingReferences
7;ArticleTests.testClickLink_fullText_assertPreviewShown
7;ArticleTests.testTableOfContents_checkSubTitles
7;TabTests.testOpenArticleInNewTab
9;ArticleTests.testTableOfContents_checkSubTitles
10;ArticleTests.testOpeningAndClosingReferences
16;ArticleTests.testOpeningAndClosingReferences
19;ArticleTests.testOpeningAndClosingReferences
20;ArticleTests.testOpeningAndClosingReferences
