runNumber;runTime_seconds;tests;failures;totalRunTime_seconds
1;43.606;6;0;91.9252369
2;44.713;6;0;92.5920148
3;44.188;6;0;92.1670677
4;43.207;6;0;91.6330017
5;43.3;6;0;93.095827
6;43.486;6;0;93.8123768
7;44.567;6;0;103.9031482
8;45.288;6;0;104.2745782
9;44.225;6;0;102.0744537
10;43.773;6;0;102.6375465
11;42.87;6;0;99.6455718
12;47.401;6;0;107.3754435
13;45.53;6;0;104.8647177
14;44.034;6;0;99.8556645
15;46.183;6;0;105.1951214
16;45.506;6;0;104.3296206
17;43.831;6;0;102.7701221
18;45.491;6;0;104.8498417
19;46.1;6;0;106.049259
20;44.561;6;0;105.3875995
21;47.074;6;0;108.5004643
22;43.035;6;0;99.5295089
23;43.605;6;0;102.7186807
24;45.285;6;0;104.8121567
25;45.599;6;0;105.0666986
26;44.459;6;0;102.8848833
27;45.311;6;0;105.1435532
28;44.845;6;0;105.1290054
29;44.429;6;0;104.7067463
30;44.052;6;0;104.0538117
